        CONTAINER ID                                                                                                                                                                     IMAGE                            COMMAND                  STATUS               PORTS                                                                                                                                          NAMES
        2f8946de4273                                                                                                   sha256:1e1000a3f6d8223a792aae7f5aa8d3b513be1115c50261683476d1a8f387428b            "/go/bin/agent-linux …"               Up 4 days                  []                                               [/k8s_jaeger-agent_dx-case-service-77b99b87cd-kxrfg_prod_b536f143-5b9e-46c5-96f9-0da692fce596_0]
        3b05a0d1f440                                               cirrus-docker.jfrog.io/dx-case-service/docker-image@sha256:49f2eaec0a712a1cb4e195b25a2480bf9da7d9cf1194fd0c2a8fb1c6e49b5582                           "java …"               Up 4 days                  []                                            [/k8s_dx-case-service_dx-case-service-77b99b87cd-kxrfg_prod_b536f143-5b9e-46c5-96f9-0da692fce596_0]
        20e9e25e3b07                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 4 days                  []                                                        [/k8s_POD_dx-case-service-77b99b87cd-kxrfg_prod_b536f143-5b9e-46c5-96f9-0da692fce596_0]
        4cbb055eb2ce                                                                                                   sha256:df110c361d284c7c966d0a3f35e737174fd2bbac27f67fed0bd02f1a40476442                           "java …"               Up 4 days                  []                                           [/k8s_dx-case-service_dx-case-service-658ddf4bdc-gzjdx_orion_ac71c363-11e0-4d82-80a6-004d44d7d1fa_0]
        d4deaf8e15cb                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 4 days                  []                                                       [/k8s_POD_dx-case-service-658ddf4bdc-gzjdx_orion_ac71c363-11e0-4d82-80a6-004d44d7d1fa_0]
        a3c333173d71                                                                                                   sha256:1e1000a3f6d8223a792aae7f5aa8d3b513be1115c50261683476d1a8f387428b            "/go/bin/agent-linux …"               Up 4 days                  []                                               [/k8s_jaeger-agent_ui-view-service-678486d9b4-fqzdj_prod_632c447b-eb60-4ef7-a766-ee631c78b660_0]
        bdf8e3c7841a                                                                                                   sha256:6adf221bfead47b986e2be81b402853d490190b093903522fdf3b866d2ef1f0a                           "java …"               Up 4 days                  []                                            [/k8s_ui-view-service_ui-view-service-678486d9b4-fqzdj_prod_632c447b-eb60-4ef7-a766-ee631c78b660_0]
        f3c209860e2f                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 4 days                  []                                                        [/k8s_POD_ui-view-service-678486d9b4-fqzdj_prod_632c447b-eb60-4ef7-a766-ee631c78b660_0]
        269b6ee20301                                                                                                   sha256:1e1000a3f6d8223a792aae7f5aa8d3b513be1115c50261683476d1a8f387428b            "/go/bin/agent-linux …"               Up 5 days                  []                            [/k8s_jaeger-agent_operator-management-service-54c58654-jgkdg_keystone-dev7_2e0980d9-96c0-4dbc-b6e5-033858f85782_0]
        0152379716d9                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 5 days                  []                                     [/k8s_POD_operator-management-service-54c58654-jgkdg_keystone-dev7_2e0980d9-96c0-4dbc-b6e5-033858f85782_0]
